num_nodes,packet_loss,run_id,converged,total_messages,true_mean,final_consensus_mean,mean_relative_error,within_5pct_of_true,remaining_mass,mass_loss_pct
4,0.05,49,True,76,46.5,46.49780684275796,4.716467187182677e-05,True,186.0,0.0
4,0.05,50,True,97,47.5,47.48136432901657,0.0003923299154406759,True,190.0,0.0
4,0.05,51,True,85,66.75,66.74999920464558,5.758608463754106e-07,True,267.0,0.0
4,0.05,52,True,70,47.0,47.00000680535007,1.219956662517819e-06,True,188.0,0.0
4,0.05,53,True,54,78.5,78.49948794483541,8.567218681330317e-06,True,314.0,0.0
4,0.05,54,True,75,46.0,46.000007830068284,1.4706355630476353e-06,True,184.0,0.0
4,0.05,55,True,118,33.25,33.25000034479163,1.4216646626847366e-07,True,133.0,0.0
4,0.05,56,True,79,54.75,54.748853609633414,2.172622752971191e-05,True,219.0,0.0
4,0.05,57,True,69,40.5,40.50003643834417,3.4365138871297025e-06,True,162.0,0.0
4,0.05,58,True,63,64.25,64.25016505149907,2.8838372090990647e-06,True,257.0,0.0
4,0.05,59,True,67,53.75,53.749915341076694,2.1392587553971805e-06,True,215.0,0.0
4,0.05,60,True,72,68.25,68.2498614521474,4.756777782964348e-06,True,273.0,0.0
4,0.05,61,True,77,28.75,28.749995227475647,3.769231748129226e-07,True,115.0,0.0
4,0.05,62,True,58,61.5,61.50005296712408,2.0237026503408506e-06,True,246.0,0.0
4,0.05,63,True,85,47.75,47.767136416631686,0.0003588778352185985,True,191.0,0.0
4,0.05,64,True,128,56.5,56.49836581781526,4.830439490228e-05,True,225.99999999999991,3.3306690738754696e-14
4,0.05,65,True,71,40.0,39.99984382748312,3.904312922120567e-06,True,160.0,0.0
4,0.05,66,True,81,48.75,48.74952094689259,9.82673040845419e-06,True,195.0,0.0
4,0.05,67,True,69,70.75,70.74591442727763,5.774661091700158e-05,True,283.0,0.0
4,0.05,68,True,58,87.25,87.24989063467069,4.449723122501835e-06,True,349.0,0.0
4,0.05,69,True,65,60.5,60.50003612516955,8.062941798523148e-07,True,242.0,0.0
4,0.05,70,True,89,44.5,44.499864692184275,3.040625072474775e-06,True,178.0,0.0
